sanity_id,compression_method,human_labeled_policy_state,label_notes
sanity_email_011_absent_send_contract_external_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_email_011_absent_send_contract_external_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_email_011_absent_send_contract_external_rolling_summary,rolling_summary,,
sanity_email_011_absent_send_contract_external_truncated_carried_policy,truncated_carried_policy,,
sanity_email_011_absent_send_contract_external_recursive_summary,recursive_summary,,
sanity_file_031_misbound_share_private_roadmap_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_file_031_misbound_share_private_roadmap_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_file_031_misbound_share_private_roadmap_rolling_summary,rolling_summary,,
sanity_file_031_misbound_share_private_roadmap_truncated_carried_policy,truncated_carried_policy,,
sanity_file_031_misbound_share_private_roadmap_recursive_summary,recursive_summary,,
sanity_calendar_041_over_included_share_private_internal_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_calendar_041_over_included_share_private_internal_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_calendar_041_over_included_share_private_internal_rolling_summary,rolling_summary,,
sanity_calendar_041_over_included_share_private_internal_truncated_carried_policy,truncated_carried_policy,,
sanity_calendar_041_over_included_share_private_internal_recursive_summary,recursive_summary,,
sanity_slack_001_preserved_share_external_message_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_slack_001_preserved_share_external_message_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_slack_001_preserved_share_external_message_rolling_summary,rolling_summary,,
sanity_slack_001_preserved_share_external_message_truncated_carried_policy,truncated_carried_policy,,
sanity_slack_001_preserved_share_external_message_recursive_summary,recursive_summary,,
sanity_database_021_weakened_update_pii_record_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_database_021_weakened_update_pii_record_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_database_021_weakened_update_pii_record_rolling_summary,rolling_summary,,
sanity_database_021_weakened_update_pii_record_truncated_carried_policy,truncated_carried_policy,,
sanity_database_021_weakened_update_pii_record_recursive_summary,recursive_summary,,
sanity_email_001_preserved_send_contract_external_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_email_001_preserved_send_contract_external_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_email_001_preserved_send_contract_external_rolling_summary,rolling_summary,,
sanity_email_001_preserved_send_contract_external_truncated_carried_policy,truncated_carried_policy,,
sanity_email_001_preserved_send_contract_external_recursive_summary,recursive_summary,,
sanity_email_002_preserved_send_finance_external_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_email_002_preserved_send_finance_external_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_email_002_preserved_send_finance_external_rolling_summary,rolling_summary,,
sanity_email_002_preserved_send_finance_external_truncated_carried_policy,truncated_carried_policy,,
sanity_email_002_preserved_send_finance_external_recursive_summary,recursive_summary,,
sanity_email_003_preserved_delete_vip_thread_manual_injected_carried_policy,manual_injected_carried_policy,,
sanity_email_003_preserved_delete_vip_thread_llm_summarized_carried_policy,llm_summarized_carried_policy,,
sanity_email_003_preserved_delete_vip_thread_rolling_summary,rolling_summary,,
sanity_email_003_preserved_delete_vip_thread_truncated_carried_policy,truncated_carried_policy,,
sanity_email_003_preserved_delete_vip_thread_recursive_summary,recursive_summary,,
